case_name,video,fps,extracted_frames,registered_frames,registration_ratio,extract_s,sfm_total_s
S1-1_fps4,S1-1,4,182,63,0.346154,0.321102,18.940174
S1-1_fps8,S1-1,8,363,252,0.694215,0.392806,76.179315
S1-1_fps16,S1-1,16,726,681,0.938017,0.685796,280.489616
S1-1_fps30,S1-1,30,1362,482,0.353891,0.988718,441.647474
S1-2_fps4,S1-2,4,276,276,1.000000,0.500022,71.939060
S1-2_fps8,S1-2,8,552,552,1.000000,0.599006,135.467962
S1-2_fps16,S1-2,16,1104,1104,1.000000,1.050243,668.253471
S1-2_fps30,S1-2,30,2070,2070,1.000000,1.442751,878.838473
S1-3_fps4,S1-3,4,100,44,0.440000,0.261391,68.210613
S1-3_fps8,S1-3,8,200,200,1.000000,0.322665,1182.614301
S1-3_fps16,S1-3,16,400,152,0.380000,0.490322,522.492175
S1-3_fps30,S1-3,30,750,750,1.000000,0.723113,5936.410069
